file,label,r,int,scenario,delay,seed,ill,attackavg,attack0,attack1,attack2,attack3,attack4,peakill,peaktime,vaccinesused,antiviralsused,pop0,pop1,pop2,pop3,pop4
sims/1/Summary10045,sims/1/config.la.1.3-het7-130,1.3,1,het7,1,-1,38805,0.0034984,0.00336675,0.00591381,0.00292407,0.00289048,0.0020492,1565,176,2788901,0,724140,2458314,1409337,5215050,1285382
sims/1/Summary10046,sims/1/config.la.1.3-het7-137,1.3,1,het7,1,-1,56890,0.00512878,0.00466387,0.00893079,0.0041813,0.00421345,0.00286002,2730,176,2790773,0,725577,2460477,1408892,5215201,1282160
sims/1/Summary10047,sims/1/config.la.1.3-het7-133,1.3,1,het7,1,-1,46414,0.00418435,0.00378635,0.00717639,0.0033907,0.00347305,0.00242818,2007,177,2791732,0,726294,2461961,1407970,5214432,1281617
sims/1/Summary10048,sims/1/config.la.1.3-het7-134,1.3,1,het7,1,-1,60999,0.00549919,0.00490953,0.00947955,0.00446046,0.00456567,0.00313096,2662,178,2789341,0,725528,2461086,1408823,5214569,1282356
sims/1/Summary10049,sims/1/config.la.1.3-het7-145,1.3,1,het7,1,-1,51320,0.0046267,0.00412032,0.00789821,0.00377276,0.00384338,0.00276633,2025,178,2789213,0,725671,2458659,1409842,5214681,1283290
sims/1/Summary10050,sims/1/config.la.1.3-het8-104,1.3,1,het8,1,-1,34456,0.00310628,0.00286501,0.00511025,0.00259754,0.00264328,0.0018448,1318,176,2911553,0,724954,2458783,1410563,5212838,1285234
sims/1/Summary10051,sims/1/config.la.1.3-het7-149,1.3,1,het7,1,-1,50784,0.00457833,0.00406389,0.00792206,0.00376151,0.00379391,0.00254873,2242,178,2787432,0,723937,2458325,1411667,5215728,1282600
sims/1/Summary10052,sims/1/config.la.1.3-het7-141,1.3,1,het7,1,-1,53973,0.00486584,0.00430102,0.00853367,0.00384492,0.00401269,0.0027421,2314,176,2790987,0,724246,2460488,1406271,5215708,1285510
sims/1/Summary10053,sims/1/config.la.1.3-het7-140,1.3,1,het7,1,-1,62243,0.00561139,0.00492803,0.00968301,0.00459563,0.00467524,0.00311318,2630,178,2789399,0,724630,2460081,1408730,5214280,1284538
sims/1/Summary10054,sims/1/config.la.1.3-het7-136,1.3,1,het7,1,-1,48233,0.00434833,0.00397022,0.00749287,0.00348692,0.00359768,0.00253979,2069,178,2787711,0,725653,2457671,1410414,5212248,1286327
sims/1/Summary10055,sims/1/config.la.1.3-het8-110,1.3,1,het8,1,-1,32894,0.0029655,0.00271553,0.00492924,0.00246293,0.00251825,0.00170612,1257,177,2913460,0,724721,2462651,1408484,5213929,1282440
sims/1/Summary10056,sims/1/config.la.1.3-het7-144,1.3,1,het7,1,-1,61210,0.00551824,0.00494373,0.00966234,0.00442606,0.00450943,0.00319484,2868,178,2792196,0,726172,2460583,1408477,5213745,1283318
sims/1/Summary10057,sims/1/config.la.1.3-het8-106,1.3,1,het8,1,-1,36117,0.00325606,0.00302767,0.00542433,0.0026596,0.00275656,0.00191155,1393,178,2914239,0,727291,2460028,1410363,5213384,1281161
sims/1/Summary10058,sims/1/config.la.1.3-het8-109,1.3,1,het8,1,-1,39306,0.00354353,0.00337331,0.00590676,0.00288688,0.00299394,0.0020651,1551,175,2913175,0,725994,2459045,1410171,5214861,1282265
sims/1/Summary10059,sims/1/config.la.1.3-het7-148,1.3,1,het7,1,-1,62487,0.00563338,0.00505944,0.00979203,0.00455812,0.00466069,0.00311711,2626,178,2790722,0,726365,2460982,1410232,5209526,1285164
sims/1/Summary10060,sims/1/config.la.1.3-het7-142,1.3,1,het7,1,-1,74390,0.00670648,0.0059376,0.011687,0.00546671,0.00550874,0.00383163,2807,178,2789327,0,724872,2457855,1408890,5217891,1282744
sims/1/Summary10061,sims/1/config.la.1.3-het8-102,1.3,1,het8,1,-1,33288,0.003001,0.00278857,0.0049654,0.00252187,0.00254199,0.00175065,1095,167,2914024,0,726895,2458212,1410066,5212445,1284668
sims/1/Summary10062,sims/1/config.la.1.3-het7-147,1.3,1,het7,1,-1,57068,0.00514484,0.00473767,0.00883218,0.00422614,0.00427282,0.00285749,2332,176,2788338,0,725673,2459756,1408851,5216464,1281544
sims/1/Summary10063,sims/1/config.la.1.3-het8-107,1.3,1,het8,1,-1,36804,0.00331797,0.00313374,0.00540523,0.0028616,0.00281523,0.00197098,1204,176,2913305,0,725651,2456879,1410749,5215917,1283119
sims/1/Summary10064,sims/1/config.la.1.3-het8-111,1.3,1,het8,1,-1,29597,0.00266825,0.00247613,0.00441351,0.00223591,0.00226842,0.00153041,1073,178,2911377,0,725324,2460624,1409718,5211999,1284623
sims/1/Summary10065,sims/1/config.la.1.3-het8-108,1.3,1,het8,1,-1,31542,0.0028436,0.00261069,0.00469954,0.00242014,0.00240708,0.00165086,1230,178,2913410,0,724714,2462584,1409421,5213783,1281757
sims/1/Summary10066,sims/1/config.la.1.3-het8-105,1.3,1,het8,1,-1,42847,0.00386275,0.00346652,0.00641266,0.00322807,0.00329058,0.0022202,1572,178,2914249,0,724934,2459977,1408270,5216410,1282765
sims/1/Summary10067,sims/1/config.la.1.3-het8-118,1.3,1,het8,1,-1,37790,0.00340687,0.0030126,0.00570862,0.00285503,0.00288261,0.00195757,1541,178,2909335,0,725952,2457863,1412946,5213327,1282202
sims/1/Summary10068,sims/1/config.la.1.3-het8-112,1.3,1,het8,1,-1,36115,0.0032559,0.00309359,0.00526935,0.00279572,0.00278764,0.00189658,1392,178,2911515,0,725372,2459126,1409655,5216235,1281781
sims/1/Summary10069,sims/1/config.la.1.3-het8-116,1.3,1,het8,1,-1,37147,0.00334888,0.00299998,0.00546249,0.00285403,0.00288993,0.00190177,1360,173,2914282,0,724671,2460965,1406784,5215360,1284594
sims/1/Summary10070,sims/1/config.la.1.3-het8-115,1.3,1,het8,1,-1,37287,0.00336152,0.00299276,0.00557497,0.00277728,0.00288239,0.0019155,1269,177,2913739,0,725752,2460102,1410015,5212692,1283735
sims/1/Summary10071,sims/1/config.la.1.3-het8-119,1.3,1,het8,1,-1,35269,0.00317959,0.00292438,0.00512805,0.0027385,0.00274139,0.00185515,1084,177,2913828,0,723571,2459608,1408068,5217063,1283996
sims/1/Summary10072,sims/1/config.la.1.3-het8-120,1.3,1,het8,1,-1,34933,0.00314931,0.00290091,0.00521712,0.00263889,0.00267709,0.00180382,1307,172,2912374,0,724946,2460553,1409305,5214618,1282833
sims/1/Summary10073,sims/1/config.la.1.3-het8-121,1.3,1,het8,1,-1,39483,0.00355949,0.00312162,0.00583301,0.00297501,0.00305417,0.00214247,1224,142,2912512,0,724944,2460992,1406719,5215163,1284501
sims/1/Summary10074,sims/1/config.la.1.3-het8-117,1.3,1,het8,1,-1,29032,0.00261731,0.00240529,0.00425529,0.00215837,0.00224512,0.00161091,1090,178,2914456,0,725067,2461407,1408010,5215321,1282507
sims/1/Summary10075,sims/1/config.la.1.3-het8-114,1.3,1,het8,1,-1,36472,0.00328806,0.00297334,0.00538258,0.00278232,0.00281658,0.00192701,1360,178,2910328,0,723765,2458673,1408898,5214476,1286447
sims/1/Summary10076,sims/1/config.la.1.3-het8-122,1.3,1,het8,1,-1,26465,0.00238592,0.00210188,0.00391109,0.00203944,0.00203759,0.00141553,1047,178,2914047,0,726494,2461460,1408227,5214484,1281503
sims/1/Summary10077,sims/1/config.la.1.3-het8-123,1.3,1,het8,1,-1,32723,0.00295009,0.00268947,0.0047917,0.00245753,0.00254611,0.00174932,1265,174,2912002,0,726165,2459459,1409545,5215400,1281644
sims/1/Summary10078,sims/1/config.la.1.3-het8-125,1.3,1,het8,1,-1,41435,0.00373547,0.00340534,0.00617767,0.00311035,0.00318697,0.0021622,1504,176,2910700,0,725624,2457560,1410130,5214671,1284339
sims/1/Summary10079,sims/1/config.la.1.3-het8-126,1.3,1,het8,1,-1,45633,0.00411396,0.00377764,0.00685972,0.00343871,0.003479,0.0023659,1834,178,2913713,0,725321,2458409,1408668,5217019,1282811
sims/1/Summary10080,sims/1/config.la.1.3-het8-127,1.3,1,het8,1,-1,35670,0.00321576,0.00290227,0.00519107,0.00273732,0.00277932,0.00190872,1329,176,2912349,0,724605,2458454,1410137,5214951,1284104
sims/1/Summary10081,sims/1/config.la.1.3-het8-124,1.3,1,het8,1,-1,39841,0.00359182,0.00328215,0.00588179,0.00292584,0.00310135,0.00210148,1394,171,2913249,0,726658,2459965,1407802,5213865,1283856
sims/1/Summary10082,sims/1/config.la.1.3-het8-128,1.3,1,het8,1,-1,35284,0.00318094,0.00266325,0.00537326,0.00262204,0.00268856,0.00189116,1256,176,2911386,0,724678,2457724,1408827,5216168,1284926
sims/1/Summary10083,sims/1/config.la.1.3-het8-129,1.3,1,het8,1,-1,38595,0.00347945,0.00307626,0.0057206,0.00300115,0.00296517,0.00202805,1374,178,2912582,0,724907,2459533,1408125,5215221,1284487
sims/1/Summary10084,sims/1/config.la.1.3-het8-132,1.3,1,het8,1,-1,44963,0.00405354,0.00370179,0.00673695,0.00333284,0.00345433,0.00233265,1813,178,2914346,0,725055,2460312,1410508,5214613,1281803
