r,scenario,attack0,attack1,attack2,attack3,attack4
1.2,hom4,0.000802693,0.001861830,0.000898312,0.000839125,0.000459596
1.2,hom4,0.000821749,0.001936890,0.000880841,0.000862687,0.000439174
1.2,hom4,0.000615813,0.001281040,0.000686781,0.000616167,0.000321562
1.2,hom4,0.000775668,0.001709060,0.000865006,0.000860667,0.000456723
1.2,hom4,0.000994303,0.002189020,0.000985712,0.000960028,0.000523761
1.2,hom4,0.000859674,0.001838180,0.000866227,0.000875628,0.000417090
1.2,hom5,0.000525242,0.001090570,0.000629996,0.000620758,0.000328948
1.2,hom5,0.000655962,0.001171590,0.000672367,0.000662132,0.000341594
1.2,hom5,0.000567711,0.001113660,0.000585375,0.000615820,0.000309840
1.2,hom5,0.000497891,0.001033630,0.000584222,0.000540424,0.000283845
1.2,hom5,0.000601145,0.001090090,0.000618433,0.000599988,0.000307109
1.2,hom5,0.000535730,0.001047020,0.000539918,0.000538475,0.000301318
1.2,hom5,0.000502390,0.000949255,0.000532366,0.000523609,0.000287105
1.2,hom5,0.000522664,0.000952665,0.000515920,0.000558834,0.000286822
1.2,hom5,0.000755137,0.001277660,0.000709441,0.000669282,0.000331333
1.2,hom5,0.000557774,0.001039180,0.000576857,0.000561554,0.000296210
1.2,hom6,0.000504800,0.000791570,0.000578904,0.000516824,0.000309504
1.2,hom6,0.000424605,0.000739925,0.000517446,0.000469021,0.000248660
1.2,hom6,0.000519212,0.000980679,0.000578988,0.000567307,0.000294651
1.2,hom6,0.000445559,0.000762063,0.000534773,0.000530626,0.000270623
1.2,hom6,0.000451682,0.000839512,0.000564798,0.000536255,0.000273251
1.2,hom6,0.000497891,0.000825763,0.000533173,0.000513950,0.000247295
1.2,hom6,0.000514283,0.000819189,0.000509923,0.000471707,0.000257097
1.2,hom6,0.000389370,0.000616753,0.000434914,0.000408796,0.000245259
1.2,hom6,0.000583821,0.001047230,0.000588517,0.000569816,0.000299554
1.2,hom6,0.000434404,0.000840085,0.000507404,0.000483274,0.000279028
1.2,hom7,0.000369462,0.000561351,0.000487716,0.000437945,0.000237747
1.2,hom7,0.000410412,0.000587839,0.000471005,0.000437276,0.000243983
1.2,hom7,0.000370186,0.000528356,0.000363287,0.000362743,0.000214864
1.2,hom7,0.000377900,0.000463322,0.000405552,0.000394623,0.000211523
1.2,hom7,0.000406738,0.000611650,0.000446803,0.000432590,0.000218024
1.2,hom7,0.000441839,0.000607408,0.000465422,0.000445436,0.000232023
1.2,hom7,0.000318824,0.000513045,0.000415089,0.000403012,0.000217858
1.2,hom7,0.000347523,0.000562089,0.000437858,0.000388537,0.000203425
1.2,hom7,0.000364502,0.000524730,0.000432759,0.000379324,0.000195681
1.2,hom7,0.000376800,0.000581724,0.000478033,0.000453179,0.000221490
1.2,hom8,0.000325347,0.000386844,0.000402065,0.000326301,0.000178505
1.2,hom8,0.000314006,0.000428590,0.000371547,0.000375904,0.000192536
1.2,hom8,0.000294289,0.000317526,0.000361007,0.000336434,0.000194194
1.2,hom8,0.000370186,0.000413248,0.000425018,0.000381341,0.000190731
1.2,hom8,0.000362729,0.000421424,0.000420441,0.000379851,0.000185083
1.2,hom8,0.000357102,0.000427668,0.000446094,0.000394431,0.000201614
1.2,hom8,0.000309287,0.000395323,0.000360418,0.000342805,0.000204772
1.2,hom8,0.000328486,0.000405313,0.000377419,0.000356998,0.000194516
