"","scenario","r","AgeGroup","AveAttackRate","SDAttackRate","vax"
"234","hom","1.2","30-64",0.0005890876,5.21681981376905e-05,"5"
"235","hom","1.2","65+",0.0003074124,2.04525389089527e-05,"5"
"236","hom","1.2","0-4",0.0004765627,5.74051608095184e-05,"6"
"237","hom","1.2","5-18",0.0008262769,0.000120074756328853,"6"
"238","hom","1.2","19-29",0.000534884,4.63483138947782e-05,"6"
"239","hom","1.2","30-64",0.0005067576,4.94817608219882e-05,"6"
"240","hom","1.2","65+",0.0002724922,2.3145782321816e-05,"6"
"241","hom","1.2","0-4",0.0003784186,3.44775685505164e-05,"7"
"242","hom","1.2","5-18",0.0005541514,4.66940804104522e-05,"7"
"243","hom","1.2","19-29",0.0004403524,3.81882472385884e-05,"7"
"244","hom","1.2","30-64",0.0004134665,3.1544266748844e-05,"7"
"245","hom","1.2","65+",0.0002196618,1.49393004655506e-05,"7"
"246","hom","1.2","0-4",0.0003344561,2.46761642636506e-05,"8"
"247","hom","1.2","5-18",0.0003979041,3.22242442733556e-05,"8"
"248","hom","1.2","19-29",0.0003919683,3.06894012578719e-05,"8"
"249","hom","1.2","30-64",0.0003603243,2.19630633921288e-05,"8"
"250","hom","1.2","65+",0.0001934043,7.72109856964812e-06,"8"
"251","hom","1.2","0-4",0.0003130612,2.66866711874424e-05,"9"
"252","hom","1.2","5-18",0.0002965982,1.95431578751576e-05,"9"
"253","hom","1.2","19-29",0.0003579358,2.92581814153466e-05,"9"
"254","hom","1.2","30-64",0.0003246551,1.35974142676711e-05,"9"
"255","hom","1.2","65+",0.0001819482,1.46925033401391e-05,"9"
"256","hom","1.3","0-4",0.01710199,0.00179979245930067,"0"
"257","hom","1.3","5-18",0.04890592,0.00523996378418359,"0"
"258","hom","1.3","19-29",0.01674018,0.00177748095523474,"0"
"259","hom","1.3","30-64",0.01714011,0.00176937836946577,"0"
"260","hom","1.3","65+",0.008287034,0.000888089125134534,"0"
"261","hom","1.3","0-4",0.010560808,0.00143756297375338,"1"
"262","hom","1.3","5-18",0.02902959,0.00374882697607606,"1"
"263","hom","1.3","19-29",0.01043882,0.00135785348887295,"1"
"264","hom","1.3","30-64",0.010625244,0.00141382847757585,"1"
"265","hom","1.3","65+",0.005117108,0.000658633464527544,"1"
"266","hom","1.3","0-4",0.0003816081,3.32054956878794e-05,"10"
"267","hom","1.3","5-18",0.0003248576,2.82058660297621e-05,"10"
"268","hom","1.3","19-29",0.0004321982,2.77289954772577e-05,"10"
"269","hom","1.3","30-64",0.0004043765,2.5055777826681e-05,"10"
"270","hom","1.3","65+",0.0002166166,1.3644802878752e-05,"10"
"271","hom","1.3","0-4",0.0003337466,2.37348304921036e-05,"11"
"272","hom","1.3","5-18",0.0002436236,2.02380328545593e-05,"11"
"273","hom","1.3","19-29",0.0004051864,2.9674773263947e-05,"11"
"274","hom","1.3","30-64",0.0003659423,1.80764921747679e-05,"11"
"275","hom","1.3","65+",0.0001970649,1.05195734646314e-05,"11"
"276","hom","1.3","0-4",0.005469691,0.0005853397984922,"2"
"277","hom","1.3","5-18",0.01398843,0.00164157862305363,"2"
"278","hom","1.3","19-29",0.005475851,0.000599225966179148,"2"
"279","hom","1.3","30-64",0.005565029,0.000615998891980425,"2"
"280","hom","1.3","65+",0.002680963,0.000272166878916023,"2"
"281","hom","1.3","0-4",0.003321853,0.000436502912400873,"3"
"282","hom","1.3","5-18",0.007926723,0.00108558456580417,"3"
"283","hom","1.3","19-29",0.003377143,0.000470801915814331,"3"
"284","hom","1.3","30-64",0.003373349,0.000440653559599577,"3"
"285","hom","1.3","65+",0.00164231,0.000182098488797195,"3"
"286","hom","1.3","0-4",0.002055192,0.00016976058172222,"4"
"287","hom","1.3","5-18",0.004498623,0.000472163606039027,"4"
"288","hom","1.3","19-29",0.002093105,0.000199674072553249,"4"
"289","hom","1.3","30-64",0.002073331,0.000208624907560062,"4"
"290","hom","1.3","65+",0.0010056858,9.45838015069764e-05,"4"
"291","hom","1.3","0-4",0.001356617,0.00012118637254246,"5"
"292","hom","1.3","5-18",0.002741601,0.000246285869060506,"5"
"293","hom","1.3","19-29",0.001426895,8.80417324341133e-05,"5"
"294","hom","1.3","30-64",0.00140325,0.00011107774144465,"5"
"295","hom","1.3","65+",0.0006900986,5.98281743963494e-05,"5"
"296","hom","1.3","0-4",0.0009529774,0.000104982336373739,"6"
"297","hom","1.3","5-18",0.001651239,0.000220652304943018,"6"
"298","hom","1.3","19-29",0.0009963489,0.000121648401428461,"6"
"299","hom","1.3","30-64",0.0009691067,0.000103472578451223,"6"
"300","hom","1.3","65+",0.0004842785,4.92985382254552e-05,"6"
"301","hom","1.3","0-4",0.0006991946,7.11212025679481e-05,"7"
"302","hom","1.3","5-18",0.0010486374,0.000134009210453942,"7"
"303","hom","1.3","19-29",0.000756406,7.9451355932769e-05,"7"
"304","hom","1.3","30-64",0.0007146815,6.57113480530148e-05,"7"
"305","hom","1.3","65+",0.0003648999,3.35414645491219e-05,"7"
"306","hom","1.3","0-4",0.0005158858,3.71633296941428e-05,"8"
"307","hom","1.3","5-18",0.0006649283,3.95506125196283e-05,"8"
"308","hom","1.3","19-29",0.000566213,3.46531472580614e-05,"8"
"309","hom","1.3","30-64",0.000538237,3.01286383215556e-05,"8"
"310","hom","1.3","65+",0.0002821469,1.95654641109731e-05,"8"
"311","hom","1.3","0-4",0.0004394706,4.29927497096894e-05,"9"
"312","hom","1.3","5-18",0.0004729493,5.39690757976784e-05,"9"
"313","hom","1.3","19-29",0.0004956527,3.81521576411843e-05,"9"
"314","hom","1.3","30-64",0.0004633268,2.3160673655526e-05,"9"
"315","hom","1.3","65+",0.0002531731,1.38014207839467e-05,"9"
"316","hom","1.4","0-4",0.07529953,0.00345801318069913,"0"
"317","hom","1.4","5-18",0.1949447,0.00786605360676143,"0"
"318","hom","1.4","19-29",0.07529868,0.0035161533909152,"0"
"319","hom","1.4","30-64",0.07574292,0.00339136123958114,"0"
"320","hom","1.4","65+",0.03741476,0.00172336856327626,"0"
"321","hom","1.4","0-4",0.05101841,0.00434220319997682,"1"
"322","hom","1.4","5-18",0.1298856,0.0103688126953432,"1"
"323","hom","1.4","19-29",0.05147188,0.00427611694201384,"1"
"324","hom","1.4","30-64",0.05162613,0.0043294870802312,"1"
"325","hom","1.4","65+",0.0253174,0.0021645456382345,"1"
"326","hom","1.4","0-4",0.0005893481,3.58030454491421e-05,"10"
"327","hom","1.4","5-18",0.000536069,4.18592592013868e-05,"10"
"328","hom","1.4","19-29",0.0006746438,3.87105942943559e-05,"10"
"329","hom","1.4","30-64",0.0006066769,2.93506915892397e-05,"10"
